Step,ActiveGroups,CycleOrder,Selected,Vehicles,GreenTime
0,['west'],['west'],west,1,12
1,"['south', 'west']",['west'],west,1,12
2,"['south', 'west']",[],south,1,12
3,"['east', 'south', 'west']","['west', 'east', 'south']",west,2,12
4,"['east', 'south', 'west']","['west', 'east', 'south']",east,1,12
5,"['east', 'south', 'west']","['west', 'east', 'south']",south,2,12
6,"['north', 'east', 'south', 'west']","['west', 'east', 'south']",west,1,12
7,"['north', 'east', 'south', 'west']",[],north,2,12
8,"['north', 'east', 'south', 'west']","['north', 'east', 'south', 'west']",north,2,14
9,"['north', 'east', 'south', 'west']","['north', 'east', 'south', 'west']",east,2,12
10,"['north', 'east', 'south', 'west']","['north', 'east', 'south', 'west']",south,2,12
11,"['north', 'east', 'south', 'west']","['north', 'east', 'south', 'west']",west,2,14
12,"['north', 'east', 'south', 'west']",[],north,3,19
13,"['north', 'east', 'south', 'west']","['south', 'east', 'north', 'west']",south,4,24
14,"['north', 'east', 'south', 'west']","['south', 'east', 'north', 'west']",east,3,19
15,"['north', 'east', 'south', 'west']","['south', 'east', 'north', 'west']",north,2,14
16,"['north', 'east', 'south', 'west']","['south', 'east', 'north', 'west']",west,3,17
17,"['north', 'east', 'south', 'west']",[],south,5,27
18,"['north', 'east', 'south', 'west']","['south', 'east', 'west', 'north']",south,5,27
19,"['north', 'east', 'south', 'west']","['south', 'east', 'west', 'north']",east,4,24
20,"['north', 'east', 'south', 'west']","['south', 'east', 'west', 'north']",west,3,19
21,"['north', 'east', 'south', 'west']","['south', 'east', 'west', 'north']",north,2,14
22,"['north', 'east', 'south', 'west']",[],south,8,44
23,"['north', 'east', 'south', 'west']","['south', 'east', 'west', 'north']",south,8,44
24,"['north', 'east', 'south', 'west']","['south', 'east', 'west', 'north']",east,6,34
25,"['east', 'south', 'west']","['south', 'east', 'west', 'north']",west,5,25
26,"['east', 'south', 'west']",[],south,9,45
27,"['east', 'south', 'west']","['south', 'east', 'west']",south,9,45
28,"['north', 'east', 'south', 'west']","['south', 'east', 'west']",east,7,37
29,"['north', 'east', 'south', 'west']","['south', 'east', 'west']",west,5,27
30,"['north', 'east', 'south', 'west']","['south', 'east', 'west']",south,10,45
31,"['north', 'east', 'south', 'west']",[],south,10,45
32,"['north', 'east', 'south', 'west']","['east', 'south', 'west', 'north']",east,8,42
33,"['north', 'east', 'south', 'west']","['east', 'south', 'west', 'north']",south,8,42
34,"['north', 'east', 'south', 'west']","['east', 'south', 'west', 'north']",west,6,32
35,"['north', 'east', 'south', 'west']","['east', 'south', 'west', 'north']",north,2,14
36,"['north', 'east', 'south', 'west']",[],east,9,45
37,"['north', 'east', 'south', 'west']","['east', 'south', 'west', 'north']",east,10,45
38,"['north', 'east', 'south', 'west']","['east', 'south', 'west', 'north']",south,5,31
39,"['north', 'east', 'south', 'west']","['east', 'south', 'west', 'north']",west,7,41
40,"['north', 'east', 'south', 'west']","['east', 'south', 'west', 'north']",north,3,21
41,"['north', 'east', 'south', 'west']",[],east,10,45
42,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",east,10,45
43,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",west,8,45
44,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",north,5,31
45,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",south,3,21
46,"['north', 'east', 'south', 'west']",[],east,10,45
47,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",east,10,45
48,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",west,8,45
49,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",north,6,36
50,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",south,3,21
51,"['north', 'east', 'south', 'west']",[],east,10,45
52,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",east,10,45
53,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",west,8,42
54,"['north', 'east', 'west']","['east', 'west', 'north', 'south']",north,6,30
55,"['north', 'east', 'west']",[],east,10,45
