Step,North,East,South,West,SelectedGroup,YOLO_Total,Fused_Total,GreenTime
0,0,0,0,1,west,0,1,12
1,0,0,1,1,west,0,2,12
2,0,0,1,1,south,0,2,12
3,0,1,1,2,west,0,4,12
4,0,1,2,2,east,0,5,12
5,0,1,2,2,south,0,5,12
6,1,2,2,1,west,0,6,12
7,2,2,2,1,north,0,7,12
8,2,2,2,2,north,0,8,14
9,2,2,2,1,east,0,7,12
10,3,2,2,1,south,0,8,12
11,3,2,3,2,west,0,10,14
12,3,2,3,2,north,0,10,19
13,2,3,4,2,south,0,11,24
14,2,3,4,3,east,0,12,19
15,2,4,4,3,north,0,13,14
16,1,4,5,3,west,0,13,17
17,1,4,5,3,south,0,13,27
18,1,4,5,3,south,0,13,27
19,2,4,6,3,east,0,15,24
20,2,4,7,3,west,0,16,19
21,2,4,7,3,north,0,16,14
22,2,4,8,4,south,0,18,44
23,2,5,8,4,south,0,19,44
24,2,6,8,4,east,0,20,34
25,0,6,9,5,west,0,20,25
26,0,6,9,5,south,0,20,45
27,0,7,9,5,south,0,21,45
28,1,7,10,5,east,0,23,37
29,1,7,10,5,west,0,23,27
30,1,7,10,6,south,0,24,45
31,1,8,10,6,south,0,25,45
32,1,8,8,6,east,0,23,42
33,1,8,8,6,south,0,23,42
34,1,9,8,6,west,0,24,32
35,2,9,6,6,north,0,23,14
36,2,9,6,6,east,0,23,45
37,2,10,6,6,east,0,24,45
38,3,10,5,6,south,0,24,31
39,3,10,5,7,west,0,25,41
40,3,10,3,7,north,0,23,21
41,4,10,4,8,east,0,26,45
42,4,10,2,8,east,0,24,45
43,4,10,3,8,west,0,25,45
44,5,10,3,8,north,0,26,31
45,5,10,3,8,south,0,26,21
46,5,10,3,8,east,0,26,45
47,6,10,3,8,east,0,27,45
48,6,10,3,8,west,0,27,45
49,6,10,3,8,north,0,27,36
50,6,10,3,8,south,0,27,21
51,6,10,1,8,east,0,25,45
52,6,10,1,8,east,0,25,45
53,6,10,1,8,west,0,25,42
54,6,10,0,8,north,0,24,30
55,6,10,0,8,east,0,24,45
56,6,10,1,8,east,0,25,45
57,6,10,1,8,west,0,25,42
58,6,10,1,8,north,0,25,32
59,6,10,2,8,south,0,26,14
60,6,10,2,8,east,0,26,45
61,6,10,2,8,east,0,26,45
62,6,10,2,8,west,0,26,44
63,6,10,2,8,north,0,26,34
64,6,10,2,8,south,0,26,14
65,6,10,3,8,east,0,27,45
66,6,10,3,8,east,0,27,45
67,6,10,3,8,west,0,27,45
68,6,10,4,8,north,0,28,38
69,6,10,3,8,south,0,27,21
70,6,10,3,8,east,0,27,45
71,6,10,2,8,east,0,26,45
72,6,10,2,8,west,0,26,44
73,6,10,3,8,north,0,27,36
74,6,10,2,8,south,0,26,14
75,6,10,2,8,east,0,26,45
76,6,10,3,8,east,0,27,45
77,6,8,2,8,west,0,24,44
78,6,8,2,8,north,0,24,34
79,6,8,2,8,south,0,24,14
80,6,6,2,8,west,0,22,44
81,6,6,2,8,west,0,22,44
82,6,6,2,8,north,0,22,34
83,6,5,2,8,east,0,21,29
84,6,6,2,8,south,0,22,14
85,6,5,2,8,west,0,21,44
86,6,4,2,8,west,0,20,44
87,6,4,3,8,north,0,21,36
88,6,3,4,8,east,0,21,21
89,6,3,4,8,south,0,21,26
90,6,3,5,8,west,0,22,45
