Step,North,East,South,West,GreenTime
0,0,0,0,1,15
1,0,0,1,1,15
2,0,0,1,1,15
3,0,1,1,2,15
4,0,1,2,2,15
5,0,1,2,2,15
6,1,2,2,2,15
7,2,2,2,2,15
8,2,2,2,3,15
9,2,2,2,3,15
10,3,2,2,3,15
11,3,2,3,4,15
12,2,2,3,4,15
13,2,3,3,4,15
14,2,3,4,4,15
15,1,3,4,5,15
16,1,4,4,5,15
17,1,4,5,5,15
18,1,4,5,5,15
19,2,2,5,5,15
20,3,2,6,5,15
21,3,2,7,5,15
22,3,2,7,5,15
23,3,1,8,6,15
24,3,2,8,6,15
25,3,2,8,6,15
26,3,2,8,7,15
27,3,2,8,7,15
28,3,3,9,7,15
29,4,3,9,7,15
30,4,2,9,7,15
31,4,1,10,8,15
32,4,2,10,8,15
33,4,2,10,8,15
34,4,2,10,8,15
35,4,2,10,8,15
36,4,3,10,8,15
37,5,3,8,8,15
38,5,3,8,8,15
39,5,4,8,8,15
40,6,4,7,8,15
41,6,4,6,8,15
42,6,5,6,8,15
43,7,5,5,8,15
44,7,6,5,8,15
45,7,6,3,8,15
46,7,6,4,8,15
47,7,6,3,8,15
48,7,6,3,8,15
49,7,6,3,8,15
50,7,7,3,8,15
51,7,7,3,8,15
52,7,7,4,8,15
53,7,7,4,8,15
54,7,7,4,8,15
55,7,7,4,6,15
56,7,7,4,6,15
57,7,7,4,6,15
58,7,7,5,4,15
59,7,7,5,4,15
60,7,7,5,3,15
61,7,7,6,3,15
62,7,7,6,3,15
63,7,7,6,2,15
64,7,7,7,3,15
65,7,8,7,2,15
66,7,8,7,2,15
67,7,8,7,3,15
68,7,8,7,2,15
69,7,8,7,2,15
70,7,9,7,3,15
71,7,9,7,3,15
72,7,9,7,3,15
73,5,9,7,4,15
74,5,9,7,5,15
75,5,9,7,5,15
76,3,9,7,5,15
77,3,9,7,6,15
78,3,9,7,6,15
79,3,9,7,6,15
80,4,9,7,6,15
81,4,9,7,6,15
82,3,9,7,6,15
83,4,9,7,6,15
84,4,9,7,6,15
85,2,9,7,6,15
86,3,9,7,6,15
87,2,9,7,6,15
88,2,9,7,6,15
89,3,9,7,6,15
90,3,9,7,6,15
91,3,7,7,6,15
92,4,7,7,6,15
93,4,7,7,6,15
94,4,6,7,6,15
95,5,5,7,6,15
96,5,5,7,6,15
97,5,3,7,6,15
98,5,4,7,6,15
99,5,4,7,6,15
100,5,3,7,6,15
101,5,3,7,6,15
102,5,3,7,6,15
103,5,3,7,6,15
104,5,3,7,6,15
105,5,2,7,6,15
106,5,2,7,6,15
107,5,2,7,6,15
108,5,3,7,6,15
109,5,3,5,6,15
110,5,3,5,6,15
111,5,4,5,6,15
112,5,4,4,6,15
113,5,4,3,6,15
114,5,5,3,6,15
115,5,5,3,6,15
116,5,5,4,6,15
117,5,6,4,6,15
118,5,6,4,6,15
119,5,6,4,6,15
120,5,7,4,6,15
121,5,7,3,6,15
122,5,7,3,6,15
123,5,8,3,6,15
124,5,8,3,6,15
125,5,8,3,6,15
126,5,8,4,6,15
127,5,8,4,4,15
128,5,8,5,4,15
129,5,8,5,4,15
130,5,8,6,3,15
131,5,8,6,3,15
132,5,8,6,2,15
133,5,8,7,3,15
134,5,8,7,3,15
135,5,8,7,2,15
136,5,8,8,3,15
137,5,8,9,3,15
138,5,8,9,3,15
139,5,8,9,3,15
140,5,8,9,3,15
141,5,8,9,4,15
142,5,8,9,4,15
143,5,8,9,5,15
144,5,8,9,5,15
145,4,8,9,5,15
146,4,8,9,6,15
147,4,8,9,7,15
148,3,8,9,7,15
149,3,8,9,7,15
150,3,8,9,8,15
151,3,8,9,8,15
152,3,8,9,8,15
153,3,8,9,9,15
154,2,8,9,9,15
155,3,8,9,9,15
156,2,8,9,9,15
157,2,8,9,9,15
158,3,8,9,9,15
159,2,8,9,9,15
160,2,8,9,9,15
161,3,8,9,9,15
162,4,8,9,9,15
163,4,6,9,9,15
164,4,6,9,9,15
165,5,6,9,9,15
166,6,4,9,9,15
167,6,4,9,9,15
168,6,4,9,9,15
169,7,3,9,9,15
170,8,4,9,9,15
171,8,4,9,9,15
172,8,4,9,9,15
173,9,4,9,9,15
174,9,3,9,9,15
175,9,3,9,9,15
176,10,4,9,9,15
177,10,4,9,9,15
178,10,3,9,9,15
179,10,4,9,9,15
180,10,4,9,9,15
181,10,4,7,9,15
182,10,5,7,9,15
183,10,6,7,9,15
184,10,6,7,9,15
185,10,7,5,9,15
186,10,7,5,9,15
187,10,7,4,9,15
188,10,8,5,9,15
189,10,8,4,9,15
190,10,8,3,9,15
191,10,8,4,9,15
192,10,8,3,9,15
193,10,8,2,9,15
194,10,8,3,9,15
195,10,8,2,9,15
196,10,8,2,9,15
197,10,8,3,9,15
198,10,8,3,9,15
199,10,8,3,7,15
200,10,8,4,7,15
201,10,8,4,7,15
202,10,8,4,5,15
203,10,8,5,6,15
204,10,8,5,6,15
205,10,8,6,4,15
206,10,8,6,4,15
207,10,8,6,3,15
208,10,8,7,4,15
209,10,8,8,3,15
210,10,8,8,3,15
211,10,8,8,4,15
212,10,8,8,3,15
213,10,8,9,3,15
214,10,8,9,3,15
215,10,8,9,3,15
216,10,8,10,3,15
217,8,8,10,4,15
218,8,8,10,5,15
219,8,8,10,5,15
220,6,8,10,5,15
221,6,8,10,6,15
222,6,8,10,6,15
223,5,8,10,6,15
224,5,8,10,7,15
225,4,8,10,8,15
226,3,8,10,8,15
227,3,8,10,8,15
228,2,8,10,9,15
229,2,8,10,9,15
230,2,8,10,9,15
231,3,8,10,9,15
232,3,8,10,9,15
233,4,8,10,9,15
234,4,8,10,9,15
235,4,6,10,9,15
236,5,6,10,9,15
237,5,6,10,9,15
238,5,4,10,9,15
239,6,4,10,9,15
240,6,4,10,9,15
241,6,3,10,9,15
242,7,3,10,9,15
243,7,2,10,9,15
244,7,3,10,9,15
245,7,4,10,9,15
246,8,3,10,9,15
247,8,3,10,9,15
248,8,3,10,9,15
249,9,4,10,9,15
250,9,3,10,9,15
251,9,3,10,9,15
252,9,4,10,9,15
253,10,4,8,9,15
254,10,4,8,9,15
255,10,5,8,9,15
256,10,6,7,9,15
257,10,6,6,9,15
258,10,6,5,9,15
259,10,7,4,9,15
260,10,7,5,9,15
261,10,7,4,9,15
262,10,8,4,9,15
263,10,8,5,9,15
264,10,9,3,9,15
265,10,9,3,9,15
266,10,9,3,9,15
267,10,9,2,9,15
268,10,9,2,9,15
269,10,9,3,9,15
270,10,9,4,9,15
271,10,9,4,7,15
272,10,9,4,7,15
273,10,9,5,7,15
274,10,9,5,5,15
